192.168.1.148 - - [02/Sep/2025:02:39:43 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:43 +0000] "GET /identity/v3/users/ba3f2fbb1dd24c6f90cfa1f28f1b263e HTTP/1.1" 200 496 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:43 +0000] "GET /identity/v3/projects/475016eaff3c4fbcac6aed915131499d HTTP/1.1" 200 547 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:43 +0000] "GET /identity/v3/role_assignments?role.id=d12dec3cf196427982d91eeb6717b29c&scope.project.id=475016eaff3c4fbcac6aed915131499d&user.id=ba3f2fbb1dd24c6f90cfa1f28f1b263e HTTP/1.1" 200 860 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:43 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:43 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:43 +0000] "GET /identity/v3/roles/anotherrole HTTP/1.1" 404 341 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:43 +0000] "GET /identity/v3/roles?name=anotherrole HTTP/1.1" 200 586 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:43 +0000] "GET /identity/v3/users/c3ff91652bd942c8bd73d5069bacf5f8 HTTP/1.1" 200 524 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:43 +0000] "GET /identity/v3/projects/475016eaff3c4fbcac6aed915131499d HTTP/1.1" 200 547 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
